nct_id,study_status,shap_value,feature_value,direction,snippet,dim,mean_abs
NCT06798025,0,-0.005867238269668178,-0.086500667,low,Three Different Modalities for Treatment of Inflammatory Punctal Stenosis | Modalities|Treatment|Inflammatory Punctal Stenosis | This study aimed to compare the efficacy of three various modalities of treatment of inflammatory punctal steno…,73,0.003994311621531016
NCT03825965,1,-0.005542451134178918,-0.145266563,low,"Cannabinoids vs. Placebo on Persistent Post-surgical Pain Following TKA: A Pilot RCT | Knee Osteoarthritis | Each year, approximately 75,000 Canadians undergo knee replacement surgery, and up to 25% develop persistent post-surgical pain. Pe…",73,0.003994311621531016
NCT06294535,1,-0.0055098615175893425,0.089940384,low,"The Accuracy of Reconstruction of Orbital Walls Fracture Using Prebent Mesh Versus Patient Specific Implant | Orbital Fractures | under GA, incision to access to orbital walls. Then insertion of prebent titanium mesh or customized titanium …",73,0.003994311621531016
NCT05691829,1,-0.005406690471343154,-0.211085513,low,"Immunotherapy With Non-Ablative Radiation in Previously Untreated Patients With Stage IV NSCLC | NSCLC Stage IV | The purpose of this study is to test if low dose radiation, which is routinely used in treating patients with lung cancer for …",73,0.003994311621531016
NCT06077474,1,-0.005375717721208275,-0.142590046,low,Validation of the Turkish Version of PTSD-RI-5 | Post-Traumatic Stress Disorder in Children | The aim of this study is to investigate the adaptation and validity of the DSM-5 PTSD-RI -5 scale in patients who have been exposed to traumatic e…,73,0.003994311621531016
NCT05903820,1,-0.004920842214869481,-0.165342286,low,Rhythmic Estradiol and Bone Health | Osteoporosis Risk|Menopause | The goal of this randomized-controlled trial is to compare the effect of rhythmic estrogen treatment to continuous estrogen treatment on bone turnover in healthy postmenopau…,73,0.003994311621531016
NCT06077474,1,0.006997870405718913,0.407474041,high,Validation of the Turkish Version of PTSD-RI-5 | Post-Traumatic Stress Disorder in Children | The aim of this study is to investigate the adaptation and validity of the DSM-5 PTSD-RI -5 scale in patients who have been exposed to traumatic e…,76,0.0035785084322041004
NCT05601531,1,0.006671422808146872,0.100980848,high,"Autologous Tooth Root in Ridge Preservation | Alveolar Ridge Preservation | Use your extracted teeth for routine dental care to make an autologous root slice, cover it in your extraction cavity, and give you Vit.D3 locally with the bone mat…",76,0.0035785084322041004
NCT06336629,1,0.006561994916714866,0.202160135,high,A Study Assessing the Efficacy and Safety of Combined Use of Clascoterone 1% Cream and Duac Gel (Benzoyl Peroxide/Clindamycin) for the Treatment of Acne | Acne Vulgaris | Winlevi is the first topical anti androgen and sebum inhibitor approv…,76,0.0035785084322041004
NCT06991569,1,0.005927245695893361,0.238681734,high,Evaluation for Healing of Iatrogenic Perforation After Non Surgical Repair | Root Perforation at the Bifurcation Area|Strip Perforation|Lateral Perforation | The goal of this retrospective study is to evaluate the outcome of nonsurgical roo…,76,0.0035785084322041004
NCT06068673,1,0.005905735935971279,0.298105776,high,"The Potential Impact of Clindamycin on Neurosurgery Patients. | Neurologic Complication|Neurosurgery | A prospective, open-label, single center, controlled trial. 44 patients that underwent neurosurgery or presented meningitis signs, for wh…",76,0.0035785084322041004
NCT05764317,1,0.005840396731982765,0.213115811,high,"Description of the Effectiveness, Safety, Tolerability and Adherence to Amlodipine/Atorvastatin/Perindopril Single Pill Combination Treatment in Patients With Arterial Hypertension and Dyslipidemia (TARGET) | Arterial Hypertension|HTN | Thi…",76,0.0035785084322041004
NCT06044012,1,0.005685006544591147,0.249187544,high,Buccal Myomucosal Flap and Buccal Pad of Fat for the Closure of Oro-antral Fistula | Oro-Antral Communication | Oroantral fistula (OAF) is a pathological communication between the oral cavity and the maxillary sinus. A variety of surgical t…,76,0.0035785084322041004
NCT06072885,1,0.005645403507332958,0.005053613,high,Evaluation of Perioperative Lung Ultrasound Scores in Laparoscopic Pediatric Surgeries | Postoperative Pulmonary Atelectasis | Laparoscopic surgeries require carbon-dioxide into the abdomen which may occasionally lead to atelectasis. The ex…,76,0.0035785084322041004
NCT05515705,1,-0.01458655063207516,0.198920459,low,"First-in-human Navigation Endoscopic Ultrasound (EUS) System Clinical Study | Pancreatic Disease | The implementation of Echo-endoscopy (or EUS for: Endoscopic UltraSound) is limited by the difficulty of obtaining quality EUS procedures, si…",76,0.0035785084322041004
NCT06930222,1,-0.011400169474318317,0.333672941,low,The Investigation of Predicting Mortality and Morbidity in Patients Admitted to Intensive Care Unit With Thoracic Trauma Using Selected Biomarkers and Parameters | Thorax Traumas | This prospective study aimed to predict morbidity and morta…,76,0.0035785084322041004
NCT06839534,1,-0.010522243823602366,0.335201025,low,Effects of a Structured Maternal Voice Program on Premature Infant Responses and Maternal-Infant Attachment in the Neonatal Intensive Care Unit | Neonatal Intensive Care Unit|PreTerm Neonate|Healthy | This study evaluates the effects of a S…,76,0.0035785084322041004
NCT06202378,1,-0.010016467042512432,0.23113744,low,Safety and Efficacy of SHPL-49 Injection in Participants With Acute Ischemic Stroke | Acute Ischemic Stroke | This study is designed to determine the safety and efficacy of SHPL-49 intravenous infusion for 7 consecutive days in the treatmen…,76,0.0035785084322041004
NCT06122038,1,-0.009948670558696904,0.018362176,low,"Impact of Powdered Tart Cherries on Recovery From Repeated Sprints | Inflammation|Oxidative Stress|Soreness, Muscle|Muscle Damage | The purpose of this study is to evaluate changes in force and power production, soreness, inflammation, and …",76,0.0035785084322041004
NCT05905913,1,-0.009773688492232395,0.305691183,low,FiH Study to Assess Safety and PK of SAD and MAD of ANT3310 Alone and in Combination With Meropenem in Healthy Subjects | Healthy Volunteers | The purpose of this study is to evaluate the safety and tolerability of single and multiple intra…,76,0.0035785084322041004
NCT05803161,1,-0.009339484039214767,0.283438891,low,"Congrong Runtong Oral Liquid in the Treatment of Functional Constipation (Yang-deficiency Type) | Functional Constipation | Using a placebo as a control, this study aims to preliminarily evaluate the clinical efficacy of Congrong Runtong or…",76,0.0035785084322041004
NCT05727436,1,-0.009056951662767005,0.205639765,low,The Effect of Probiotics on Gingivitis | Gingivitis; Chronic | The aim of the study is to assess the effect of oral probiotics containing Streptococcus salivarius M18 on gingivitis and oral hygiene in young adults.,76,0.0035785084322041004
NCT05670977,1,0.023159894345703834,0.042071719,high,Improved Skin Anti-aging Outcomes Associated With Collagen Fortified Consumption In 30 to 50-Year-old Women | Skin Laxity|Skin Lines | The goal of this clinical trial is to study the efficacy of collagen supplement on the moisture content a…,84,0.0035700873683149714
NCT05130983,1,0.021275925705999725,-0.154083833,high,"Study of ExoFlo for the Treatment of Medically Refractory Crohn's Disease | Crohn Disease|Inflammatory Bowel Diseases | Protocol Summary

* Title: A Phase I study of ExoFlo, an ex vivo culture-expanded adult allogeneic bone marrow mesenchym…",84,0.0035700873683149714
NCT03066739,1,0.020017775413139136,-0.062706016,high,"Effect of Ultra-low Dose Naloxone on Remifentanil-Induced Hyperalgesia | Hyperalgesia | The purpose of this study is to evaluate whether using ultra-low dose naloxone, an opioid antagonist, has the potential to block remifentanil-induced hy…",84,0.0035700873683149714
NCT05764317,1,0.019921467390522595,-0.138866857,high,"Description of the Effectiveness, Safety, Tolerability and Adherence to Amlodipine/Atorvastatin/Perindopril Single Pill Combination Treatment in Patients With Arterial Hypertension and Dyslipidemia (TARGET) | Arterial Hypertension|HTN | Thi…",84,0.0035700873683149714
NCT05897411,1,0.018429817679933222,0.076597139,high,"Deconditioning of Acquired Food Aversion | Healthy | Background. Aversive conditioning impairs the rewarding value of a comfort meal.

Our aim is to demonstrate the potential effect of deconditioning to reverse aversive conditioning and res…",84,0.0035700873683149714
NCT05727436,1,0.018087707228010005,-0.103291497,high,The Effect of Probiotics on Gingivitis | Gingivitis; Chronic | The aim of the study is to assess the effect of oral probiotics containing Streptococcus salivarius M18 on gingivitis and oral hygiene in young adults.,84,0.0035700873683149714
NCT05853133,1,0.0159060838365167,0.013386493,high,Evaluation of Postoperative Quality of Recovery Score in Radical Prostatectomy With Erector Spinae Plane Block | Postoperative Pain | Radical prostatectomy is performed with a median incision below the umbilicus. Although the position is su…,84,0.0035700873683149714
NCT06590129,1,0.015739552622978863,0.115299776,high,Functional Recovery and Pain Reduction Post-hydrodissection vs Rehabilitation in Patients With Carpal Tunnel Syndrome (Hydrocarpal) | Carpal Tunnel Syndrome (CTS) | This study pretend to evaluate the effectiveness of hydrodissection vs only…,84,0.0035700873683149714
NCT05596994,1,-0.005957984930478233,0.173527405,low,"7T MRI for Light Therapy in Patients With Mild Cognitive Impairment and Mild AD | Mild Cognitive Impairment|Alzheimer's Disease | The purpose of this research study is to investigate the effect of a light treatment on sleep, memory and brai…",84,0.0035700873683149714
NCT06629870,1,-0.005177928984412574,-0.00185658,low,Dental Anxiety During Restorative Dental Treatment | Hypnotherapy|Virtual Reality|Mindfulness | Anxiety refers to behavioural disorders associated with excessive fear and anxiety. Dental anxiety refers to excessive fear and anxiety at the t…,84,0.0035700873683149714
NCT05890170,1,-0.004838310991030994,0.122778043,low,Patient-reported Outcome Measures After Implant Placement With Contour Augmentation Procedure | Tooth Loss|Bone Graft; Complications|Patient Satisfaction|Patient Acceptance of Health Care | Maintaining the general health and well-being of p…,84,0.0035700873683149714
NCT05905913,1,-0.004764041939583876,-0.008204651,low,FiH Study to Assess Safety and PK of SAD and MAD of ANT3310 Alone and in Combination With Meropenem in Healthy Subjects | Healthy Volunteers | The purpose of this study is to evaluate the safety and tolerability of single and multiple intra…,84,0.0035700873683149714
NCT05755347,1,-0.004712599078711719,0.061687518,low,Assessing Functional Status Needs Via PRO Measures for Pts With Metastatic Breast Cancer | Breast Cancer|Metastasis | The purpose of this single-site non-randomized study is to identify areas of need related to functional status and overall…,84,0.0035700873683149714
NCT06839534,1,-0.00439235738865591,0.131974399,low,Effects of a Structured Maternal Voice Program on Premature Infant Responses and Maternal-Infant Attachment in the Neonatal Intensive Care Unit | Neonatal Intensive Care Unit|PreTerm Neonate|Healthy | This study evaluates the effects of a S…,84,0.0035700873683149714
NCT05940467,1,-0.004344047999697977,0.223712608,low,"Acute Sleep Loss and Arterial Stiffness | Arterial Stiffness | The overarching goal of this study is to mimic a night shift work like schedule and characterize circadian variation in Pulse Wave Velocity (PWV), a measure of arterial stiffnes…",84,0.0035700873683149714
NCT05691829,1,-0.004255127969759087,-0.102416828,low,"Immunotherapy With Non-Ablative Radiation in Previously Untreated Patients With Stage IV NSCLC | NSCLC Stage IV | The purpose of this study is to test if low dose radiation, which is routinely used in treating patients with lung cancer for …",84,0.0035700873683149714
NCT06509282,1,0.011750850369951422,0.017940881,high,"Personalized Concurrent Exercise for Cardiovascular Risk Control and Fitness in Adults | Cardiovascular Syndrome, Metabolic | Aim: To determine the efficacy of a personalized concurrent exercise prescription guide combined with pharmacologi…",120,0.003532999399204142
NCT05596994,1,0.010930282913886914,0.051076911,high,"7T MRI for Light Therapy in Patients With Mild Cognitive Impairment and Mild AD | Mild Cognitive Impairment|Alzheimer's Disease | The purpose of this research study is to investigate the effect of a light treatment on sleep, memory and brai…",120,0.003532999399204142
NCT05833178,1,0.0104034912213001,-0.031494688,high,The Effect of Blood Tests Performed Within the Routine Protocol in the Surgical Intensive Care Unit on Hemoglobin Levels | Anemia | Examination of blood samples is inevitable in intensive care units. Routine blood samples can be an importan…,120,0.003532999399204142
NCT06115044,1,0.01034030260071404,0.03135151,high,"The DINE-Normal Proof-of-concept Study | Critical Illness|Enteral Nutrition|Time Restricted Feeding | Overarching hypothesis In critically ill adults enteral feeding in a diurnal intermittent pattern improves patient centred outcomes.

Rese…",120,0.003532999399204142
NCT05442853,1,0.010247708146348487,-0.074441671,high,"Continuous Glucose Monitoring for Hyperglycemia in Critically Ill Patients | Hyperglycemia|Hypoglycemia|Critical Illness|Diabetes Mellitus | The investigators intend to conduct a single-center, prospective, randomized comparative trial of p…",120,0.003532999399204142
NCT06088017,1,0.010171877896411843,-0.253709644,high,A Clinical Trial to Compare and Evaluate the Safety and Pharmacokinetics of CKD-391(2) | Dyslipidemias | A clinical trial to compare and evaluate the safety and pharmacokinetics of CKD-391(2),120,0.003532999399204142
NCT06839534,1,0.009770221780372594,0.107120894,high,Effects of a Structured Maternal Voice Program on Premature Infant Responses and Maternal-Infant Attachment in the Neonatal Intensive Care Unit | Neonatal Intensive Care Unit|PreTerm Neonate|Healthy | This study evaluates the effects of a S…,120,0.003532999399204142
NCT06126250,1,0.00924323865760016,-0.008110811,high,"Safety and Efficacy of U-Shaped Sonic Toothbrush on Plaque and Gingivitis | Plaque Induced Gingivitis | The goal of this 30 day, randomized, two group, parallel, examiner-blind clinical study is to evaluate the safety and efficacy of AutoBr…",120,0.003532999399204142
NCT06094283,1,-0.02102189039188488,-0.107131183,low,"First in Human Study Evaluating Single Ascending Oral Doses of YCT-529 in Healthy Males | Male Contraception | A single ascending oral dose(s) study to evaluate the safety, tolerability, pharmacokinetics, and pharmacodynamics of YCT-529 in …",120,0.003532999399204142
NCT05836740,1,-0.013478272914699118,-0.077200823,low,"Efficacy and Safety of Minocycline in Patients With Moderate to Severe Acute Ischemic Stroke | Ischemic Stroke, Acute | The aim of this study was to evaluate the efficacy and safety of Minocycline versus placebo in the treatment of patients…",120,0.003532999399204142
NCT05932446,1,-0.0109231596602649,-0.23915723,low,A Study to Compare Two Formulations of LY3819469 in Healthy Participants | Healthy | The main purpose of this study is to assess two formulations of LY3819469 based on the amount that gets into the blood stream and how long it takes the bod…,120,0.003532999399204142
NCT05947981,1,-0.008950463694214933,0.066559881,low,"Pre-operative 5% Dextrose Infusion & PONV | Nausea, Postoperative | With this study, we aim to compare the efficacy of pre-operative dextrose-containing fluid infusion with other fluid for the prevention of PONV in middle ear surgeries.",120,0.003532999399204142
NCT05741385,1,-0.006883103768021783,-0.065739959,low,"A Study to Compare How Different Substances (Caffeine, Warfarin, Omeprazole, Metoprolol, and Midazolam) Are Handled by the Body of Healthy People and People With Liver Cirrhosis | Liver Cirrhosis | This study is open to healthy adults and a…",120,0.003532999399204142
NCT05856071,1,-0.006714150946818336,-0.008658465,low,TEL and Clam Shell Exercises Affect After ACL | Knee Ligament Injury | The purpose of this study to determine the effects of the addition of isolated hip strengthening exercises to traditional rehabilitation after Anterior cruciate ligament…,120,0.003532999399204142
NCT06294756,1,-0.005705431549763489,0.090939745,low,"Sulfureous Water Therapy in Viral Respiratory Diseases | Long-COVID|Post COVID-19 Condition|Chronic COVID-19 Syndrome|Post Acute Sequelae of COVID-19 | The goal of this double-blind, interventional, randomized case-control, pilot trial is t…",120,0.003532999399204142
NCT05819424,1,-0.0052585658937459815,-0.059871189,low,"EpiCor Clinical Study on Rapid Immune Modulating Effects | Immune Surveillance | Clinical verification study evaluating the effects of a nutraceutical product. This study involves thirty participants composed of healthy adults, who will be …",120,0.003532999399204142
NCT06148662,1,0.006338593031696291,-0.224528432,high,The Effect of Oral Sprays on Salivary pH | Oral Health | The aim of the study is to assess the effect of oral foams on salivary pH changes after Coca-cola consumption in young adults.,67,0.0035016656537374936
NCT03066739,1,0.006237784304016713,-0.148094699,high,"Effect of Ultra-low Dose Naloxone on Remifentanil-Induced Hyperalgesia | Hyperalgesia | The purpose of this study is to evaluate whether using ultra-low dose naloxone, an opioid antagonist, has the potential to block remifentanil-induced hy…",67,0.0035016656537374936
NCT05907993,1,0.0061385924775368035,-0.227337182,high,"Ibuprofen Versus Ketorolac For Postoperative Pain Relief After Cesarean Section | Pain, Postoperative | The aim of this study will be to evaluate the effectiveness of intravenous ibuprofen versus intravenous ketorolac for postoperative pain…",67,0.0035016656537374936
NCT06312449,1,0.00555221571740276,-0.468261391,high,"Effect of Peanut Balls Used of the Second Stage of Labor, Pushing Perceptions, Fatigue and Birth Outcomes | Other | This study aims to explore the use of peanut balls during the second stage of labor. It compares three different positions: …",67,0.0035016656537374936
NCT05507190,1,0.005514486383181066,-0.155793488,high,Self-management of Post COVID-19 Syndrome Using Wearable Biometric Technology | COVID-19 | The main objective of this pilot study is to evaluate the impact of a self-management intervention using wearable biometric technology on post-COVID-…,67,0.0035016656537374936
NCT06072885,1,0.005339498503562936,-0.231840447,high,Evaluation of Perioperative Lung Ultrasound Scores in Laparoscopic Pediatric Surgeries | Postoperative Pulmonary Atelectasis | Laparoscopic surgeries require carbon-dioxide into the abdomen which may occasionally lead to atelectasis. The ex…,67,0.0035016656537374936
NCT06094283,1,0.005075297527321254,-0.181628332,high,"First in Human Study Evaluating Single Ascending Oral Doses of YCT-529 in Healthy Males | Male Contraception | A single ascending oral dose(s) study to evaluate the safety, tolerability, pharmacokinetics, and pharmacodynamics of YCT-529 in …",67,0.0035016656537374936
NCT06170476,1,0.005034267677765456,-0.081314519,high,"A Clinical Trial Evaluating the Efficacy and Safety of HSK21542 in PONV | Postoperative Nausea and Vomiting | This is a multicenter, randomized, double-blind, placebo-controlled Dose-Finding study. About 200 subjects undergoing elective lap…",67,0.0035016656537374936
NCT06141577,1,-0.03217830165459191,-0.156600401,low,"A Study to Compare Pharmacokinetics, Pharmacodynamics and Safety of UI059 and UIC202201 in Healthy Subjects | GERD | A randomized, open-label, multiple-dose crossover phase 1 clinical trial to compare and evaluate the safety, pharmacokineti…",67,0.0035016656537374936
NCT05905913,1,-0.027675555448038267,-0.176455349,low,FiH Study to Assess Safety and PK of SAD and MAD of ANT3310 Alone and in Combination With Meropenem in Healthy Subjects | Healthy Volunteers | The purpose of this study is to evaluate the safety and tolerability of single and multiple intra…,67,0.0035016656537374936
NCT06012916,1,-0.025852774670715915,-0.220813468,low,"Brain Network Dynamics of Depression During Esketamine Treatment | Depressive Disorder, Major | This is a monocentric, observational clinical trial investigating the effect of Esketamine on brain network activity and a belief updating task …",67,0.0035016656537374936
NCT06202378,1,-0.022053366576203645,-0.143059865,low,Safety and Efficacy of SHPL-49 Injection in Participants With Acute Ischemic Stroke | Acute Ischemic Stroke | This study is designed to determine the safety and efficacy of SHPL-49 intravenous infusion for 7 consecutive days in the treatmen…,67,0.0035016656537374936
NCT06798025,0,-0.02117438307737757,-0.240811363,low,Three Different Modalities for Treatment of Inflammatory Punctal Stenosis | Modalities|Treatment|Inflammatory Punctal Stenosis | This study aimed to compare the efficacy of three various modalities of treatment of inflammatory punctal steno…,67,0.0035016656537374936
NCT06353308,1,-0.020376619721382667,-0.184332028,low,Effectiveness of an Online Intervention Using a Feminist Approach on Gender Equality Promotion and Sexual Violence Prevention in China | Sexual Violence | This paper presents the findings of a clustered randomized controlled trial (cRCT) th…,67,0.0035016656537374936
NCT05515705,1,-0.01927281057867731,-0.295220673,low,"First-in-human Navigation Endoscopic Ultrasound (EUS) System Clinical Study | Pancreatic Disease | The implementation of Echo-endoscopy (or EUS for: Endoscopic UltraSound) is limited by the difficulty of obtaining quality EUS procedures, si…",67,0.0035016656537374936
NCT06930222,1,-0.018255991048899887,-0.311141849,low,The Investigation of Predicting Mortality and Morbidity in Patients Admitted to Intensive Care Unit With Thoracic Trauma Using Selected Biomarkers and Parameters | Thorax Traumas | This prospective study aimed to predict morbidity and morta…,67,0.0035016656537374936
NCT05422625,1,0.015220182204139975,0.21532838,high,"PTNS for Female Patients Suffering From Multiple Sclerosis | Multiple Sclerosis|Overactive Bladder | This is a pilot, single blind, randomized, sham-controlled trial to assess the benefit of Percutaneous Tibial Nerve Stimulation (PTNS) in t…",9,0.0033682730034430945
NCT05893758,1,0.014344042949511788,0.086200774,high,Lifetech Cera™ PFO Occluder Post-Market Clinical Follow-Up | Patent Foramen Ovale|PFO | The objective of this post-market registry is to assess the clinical use of the Lifetech Cera™ PFO Occluder in a real-world and on-label fashion.,9,0.0033682730034430945
NCT05320419,1,0.012715960781922603,0.155020505,high,The Effect of Amniotic Membrane Injection as An Addition to Physical Therapy in Patients With Rotator Cuff Tear | Rotator Cuff Tear|Rotator Cuff Tendinopathy|Ultrasonography | Rotator cuff tear (RCT) is a commonly seen pathology in shoulder…,9,0.0033682730034430945
NCT05633823,1,0.012715230460354405,0.135598823,high,The Effect of Mobile Application Game Training Designed for Children | Asthma in Children|Life Style|Quality of Life | The aim of this research is to examine the effect of mobile application game training designed for children aged 8-16 yea…,9,0.0033682730034430945
NCT06509048,1,0.01208765249732096,0.202726841,high,"Combined Theta-gamma STN Stimulation for Verbal Fluency in Parkinson Disease | Parkinson Disease | Deep Brain Stimulation (DBS) of the subthalamic nucleus (STN) is an established, effective, and relatively safe therapeutic option for Parkin…",9,0.0033682730034430945
NCT05616832,1,0.012038420717715326,0.186670944,high,How do Psychosocial Factors Relate to Completing a Home Exercise Program for Arm and Hand Recovery in Veteran Stroke Survivors? | Stroke | Research shows that exercising at home can improve arm and hand movement after a stroke. Unfortunatel…,9,0.0033682730034430945
NCT05792800,1,0.01139939938411885,0.114854872,high,"Dental Practitioners KAP Regarding Caries Preventive Measures in Cairo and Riyadah | Tooth Diseases|Caries,Dental | The study aims to evaluate the knowledge, attitude, and practice of dental practitioners from Cairo and Riyadh regarding car…",9,0.0033682730034430945
NCT06071065,1,0.010939316621456783,0.212141231,high,Clinical Pharmacist Intervention on Medication Adherence and Clinical Outcomes in Chronic Kidney Disease Patients | Chronic Kidney Disease | The purpose of this research study is to evaluate the impact of clinical pharmacist interventions o…,9,0.0033682730034430945
NCT06677333,1,-0.01055934009791372,0.16775544,low,The Effect of Increasing Dietary Protein on the Gut Microbiome and Its Metabolites | Health Adults | This study will determine the effect of dietary protein not absorbed in the small intestine on the bacteria in the large intestine and the …,9,0.0033682730034430945
NCT06448728,1,-0.008313335154934976,0.106626756,low,Surgical Outcome Studies in Thoracic Wall Reconstruction With Codubix® Ribs | Thoracic | The aim of this observational study is to analyze the short- and long-term outcome after surgical implantation of the Codubix® Ribs prosthesis in a des…,9,0.0033682730034430945
NCT05963204,1,-0.007927116026227452,0.041393582,low,A Study to Evaluate the Effects for Midface Improvement When Pairing a Biostimulator with a Skincare Regimen | Photodamaged Skin|Volume Deficiency of the Midface | To assess skin structural change in midface after treatment with a biostimul…,9,0.0033682730034430945
NCT03066739,1,-0.006922520664170406,0.242003679,low,"Effect of Ultra-low Dose Naloxone on Remifentanil-Induced Hyperalgesia | Hyperalgesia | The purpose of this study is to evaluate whether using ultra-low dose naloxone, an opioid antagonist, has the potential to block remifentanil-induced hy…",9,0.0033682730034430945
NCT05777265,1,-0.006441121848097282,0.164225221,low,"The Effects of 16-Week Circuit Training in Healthy Women | Healthy Women | The aim of this study is to investigate the effects of 16-week CT on physical fitness parameters, pulmonary function, and quality of life in healthy women.",9,0.0033682730034430945
NCT06294756,1,-0.0063830265966225855,0.228080019,low,"Sulfureous Water Therapy in Viral Respiratory Diseases | Long-COVID|Post COVID-19 Condition|Chronic COVID-19 Syndrome|Post Acute Sequelae of COVID-19 | The goal of this double-blind, interventional, randomized case-control, pilot trial is t…",9,0.0033682730034430945
NCT04077281,1,-0.006250307428320738,0.160169765,low,Improving Medication Prescribing-Related Outcomes for Vulnerable Elderly in Transitions | Patient Discharge|Drug-Related Side Effects and Adverse Reactions|Aged|Health Care Costs | Medication safety is a crucial health issue for every older…,9,0.0033682730034430945
NCT06103695,1,-0.005559554905148616,0.183499932,low,"Vtama in Psoriasis Patients Being Treated With Biologics. | Psoriasis | Open label study to assess 12 weeks of add-on VTAMA® (tapinarof) Cream, 1% QD in patients with ≥3% BSA who have received biologic therapy for at least 24 weeks.",9,0.0033682730034430945
NCT05320419,1,0.00767518030060046,0.12776348,high,The Effect of Amniotic Membrane Injection as An Addition to Physical Therapy in Patients With Rotator Cuff Tear | Rotator Cuff Tear|Rotator Cuff Tendinopathy|Ultrasonography | Rotator cuff tear (RCT) is a commonly seen pathology in shoulder…,30,0.003224800166724477
NCT06077474,1,0.007019144877158396,-0.027419828,high,Validation of the Turkish Version of PTSD-RI-5 | Post-Traumatic Stress Disorder in Children | The aim of this study is to investigate the adaptation and validity of the DSM-5 PTSD-RI -5 scale in patients who have been exposed to traumatic e…,30,0.003224800166724477
NCT05737966,1,0.006943062688785631,-0.043724883,high,"Evaluation of Case Management for First Episode Psychosis Using the PEPsy-CM Checklist | First Episode Psychosis | Psychotic disorders are often chronic conditions that lead to impaired functioning, quality of life and social integration. C…",30,0.003224800166724477
NCT05849441,1,0.006695017978856867,0.006108102,high,"Mindfulness Program for Adolescents With 22q11DS | 22Q11 Deletion Syndrome | The goal of this study is to evaluate the effectiveness of the Aware Program, an online mindfulness education program, with adolescents with 22q11DS and their pare…",30,0.003224800166724477
NCT05515562,1,0.006516800028989565,0.00866055,high,Effects of Intravenous (IV) Omadacycline on Gut Microbiome | Microbial Colonization | Given the clinical need to improve upon current antibiotic regimens for the treatment of C. difficile infection with a particular focus on the impact of t…,30,0.003224800166724477
NCT05805475,1,0.006485331260551845,-0.095556512,high,Tracheal Suctioning With or Without Expiratory Pause Maneuver in Children | Mechanical Ventilation Complication|Pediatric Respiratory Diseases | The purpose of this study is to evaluate the efficacy of tracheal suctioning associate with exp…,30,0.003224800166724477
NCT05808595,1,0.00613350048631105,-0.006136868,high,The Safety and Efficacy of AlphaWave® L-Theanine on Adults Who Experience Moderate Stress on a Regular Basis | Stress | The objective of this study is to evaluate the efficacy of AlphaWave® L-Theanine on stress among adults who experience m…,30,0.003224800166724477
